DateID;Year;Month;WeekDay;Date
43909;2020;Mar;Thu;03/19/2020
44190;2020;Dez;Fri;12/25/2020
43967;2020;May;Sat;05/16/2020
43921;2020;Mar;Tue;03/31/2020
43839;2020;Jan;Thu;01/09/2020
43988;2020;Jun;Sat;06/06/2020
44244;2021;Feb;Wed;02/17/2021
44047;2020;Aug;Tue;08/04/2020
44353;2021;Jun;Sun;06/06/2021
44111;2020;Oct;Wed;10/07/2020
43972;2020;May;Thu;05/21/2020
44209;2021;Jan;Wed;01/13/2021
44150;2020;Nov;Sun;11/15/2020
44363;2021;Jun;Wed;06/16/2021
44033;2020;Jul;Tue;07/21/2020
44210;2021;Jan;Thu;01/14/2021
43843;2020;Jan;Mon;01/13/2020
43884;2020;Feb;Sun;02/23/2020
44267;2021;Mar;Fri;03/12/2021
44095;2020;Sep;Mon;09/21/2020
44362;2021;Jun;Tue;06/15/2021
43931;2020;Apr;Fri;04/10/2020
44187;2020;Dez;Tue;12/22/2020
43942;2020;Apr;Tue;04/21/2020
44168;2020;Dez;Thu;12/03/2020
44127;2020;Oct;Fri;10/23/2020
44384;2021;Jul;Wed;07/07/2021
43897;2020;Mar;Sat;03/07/2020
44385;2021;Jul;Thu;07/08/2021
44123;2020;Oct;Mon;10/19/2020
44399;2021;Jul;Thu;07/22/2021
44400;2021;Jul;Fri;07/23/2021
44401;2021;Jul;Sat;07/24/2021
44237;2021;Feb;Wed;02/10/2021
44183;2020;Dez;Fri;12/18/2020
44276;2021;Mar;Sun;03/21/2021
43880;2020;Feb;Wed;02/19/2020
44030;2020;Jul;Sat;07/18/2020
44065;2020;Aug;Sat;08/22/2020
43867;2020;Feb;Thu;02/06/2020
44009;2020;Jun;Sat;06/27/2020
44077;2020;Sep;Thu;09/03/2020
44174;2020;Dez;Wed;12/09/2020
43868;2020;Feb;Fri;02/07/2020
44232;2021;Feb;Fri;02/05/2021
43963;2020;May;Tue;05/12/2020
44094;2020;Sep;Sun;09/20/2020
44097;2020;Sep;Wed;09/23/2020
44328;2021;May;Wed;05/12/2021
44302;2021;Apr;Fri;04/16/2021
44246;2021;Feb;Fri;02/19/2021
44319;2021;May;Mon;05/03/2021
43834;2020;Jan;Sat;01/04/2020
44316;2021;Apr;Fri;04/30/2021
44288;2021;Apr;Fri;04/02/2021
44291;2021;Apr;Mon;04/05/2021
44006;2020;Jun;Wed;06/24/2020
44307;2021;Apr;Wed;04/21/2021
43889;2020;Feb;Fri;02/28/2020
44172;2020;Dez;Mon;12/07/2020
44020;2020;Jul;Wed;07/08/2020
44091;2020;Sep;Thu;09/17/2020
43844;2020;Jan;Tue;01/14/2020
44323;2021;May;Fri;05/07/2021
44214;2021;Jan;Mon;01/18/2021
44011;2020;Jun;Mon;06/29/2020
44177;2020;Dez;Sat;12/12/2020
44404;2021;Jul;Tue;07/27/2021
43958;2020;May;Thu;05/07/2020
44001;2020;Jun;Fri;06/19/2020
43833;2020;Jan;Fri;01/03/2020
44240;2021;Feb;Sat;02/13/2021
44064;2020;Aug;Fri;08/21/2020
44142;2020;Nov;Sat;11/07/2020
43948;2020;Apr;Mon;04/27/2020
44287;2021;Apr;Thu;04/01/2021
43871;2020;Feb;Mon;02/10/2020
44102;2020;Sep;Mon;09/28/2020
43850;2020;Jan;Mon;01/20/2020
44312;2021;Apr;Mon;04/26/2021
43949;2020;Apr;Tue;04/28/2020
44005;2020;Jun;Tue;06/23/2020
43983;2020;Jun;Mon;06/01/2020
43840;2020;Jan;Fri;01/10/2020
44292;2021;Apr;Tue;04/06/2021
43999;2020;Jun;Wed;06/17/2020
44158;2020;Nov;Mon;11/23/2020
44257;2021;Mar;Tue;03/02/2021
43878;2020;Feb;Mon;02/17/2020
43978;2020;May;Wed;05/27/2020
44266;2021;Mar;Thu;03/11/2021
43842;2020;Jan;Sun;01/12/2020
44236;2021;Feb;Tue;02/09/2021
44019;2020;Jul;Tue;07/07/2020
44357;2021;Jun;Thu;06/10/2021
44182;2020;Dez;Thu;12/17/2020
44148;2020;Nov;Fri;11/13/2020
44028;2020;Jul;Thu;07/16/2020
44085;2020;Sep;Fri;09/11/2020
44367;2021;Jun;Sun;06/20/2021
44197;2021;Jan;Fri;01/01/2021
43917;2020;Mar;Fri;03/27/2020
44079;2020;Sep;Sat;09/05/2020
44053;2020;Aug;Mon;08/10/2020
44029;2020;Jul;Fri;07/17/2020
44203;2021;Jan;Thu;01/07/2021
44040;2020;Jul;Tue;07/28/2020
44311;2021;Apr;Sun;04/25/2021
44093;2020;Sep;Sat;09/19/2020
44022;2020;Jul;Fri;07/10/2020
44234;2021;Feb;Sun;02/07/2021
44139;2020;Nov;Wed;11/04/2020
44171;2020;Dez;Sun;12/06/2020
44308;2021;Apr;Thu;04/22/2021
43936;2020;Apr;Wed;04/15/2020
44059;2020;Aug;Sun;08/16/2020
43973;2020;May;Fri;05/22/2020
44376;2021;Jun;Tue;06/29/2021
43985;2020;Jun;Wed;06/03/2020
44375;2021;Jun;Mon;06/28/2021
44050;2020;Aug;Fri;08/07/2020
43838;2020;Jan;Wed;01/08/2020
44372;2021;Jun;Fri;06/25/2021
43925;2020;Apr;Sat;04/04/2020
44220;2021;Jan;Sun;01/24/2021
44263;2021;Mar;Mon;03/08/2021
44113;2020;Oct;Fri;10/09/2020
44348;2021;Jun;Tue;06/01/2021
44108;2020;Oct;Sun;10/04/2020
44315;2021;Apr;Thu;04/29/2021
44275;2021;Mar;Sat;03/20/2021
44151;2020;Nov;Mon;11/16/2020
44058;2020;Aug;Sat;08/15/2020
44293;2021;Apr;Wed;04/07/2021
44026;2020;Jul;Tue;07/14/2020
43982;2020;May;Sun;05/31/2020
44084;2020;Sep;Thu;09/10/2020
43832;2020;Jan;Thu;01/02/2020
44373;2021;Jun;Sat;06/26/2021
44206;2021;Jan;Sun;01/10/2021
